 Month Observed, Year Observed, Species, Latitude, Longitude
January,2018,"Animal, Unknown",51.940747282,-114.453905763
January,2018,Coyote,49.984629439,-110.620232233
January,2018,Coyote,53.482865415,-113.332386446
January,2018,Coyote,49.05761423,-112.56913154
January,2018,Coyote,51.136648,-114.039223
January,2018,Coyote,50.5676279,-114.3001216
January,2018,Coyote,49.873287,-112.885186
January,2018,Coyote,50.6884522,-111.9538419
January,2018,Coyote,53.603980985,-115.274300721
January,2018,Coyote,54.152347,-114.0070532
January,2018,Coyote,53.568833,-113.3262632
January,2018,Coyote,54.2053254,-114.1519394
January,2018,Coyote,53.6901131,-110.349719
January,2018,Coyote,51.4837024,-113.2394951
January,2018,Coyote,51.1333921,-114.699402
January,2018,Coyote,51.1127131,-114.6473893
January,2018,"Deer, Mule",49.636913365,-114.547723369
January,2018,"Deer, Mule",49.635965349,-114.516597139
January,2018,"Deer, Mule",54.125605931,-113.847677261
January,2018,"Deer, Mule",53.945599271,-114.13343545
January,2018,"Deer, Mule",49.969064767,-110.600960392
January,2018,"Deer, Mule",50.561242083,-113.529392257
January,2018,"Deer, Mule",53.487091583,-112.027418576
January,2018,"Deer, Mule",49.95398652,-110.261286753
January,2018,"Deer, Mule",49.956137478,-110.281276046
January,2018,"Deer, Mule",49.980143176,-110.410669585
January,2018,"Deer, Mule",53.190121829,-114.274966568
January,2018,"Deer, Mule",49.982623933,-110.420700107
January,2018,"Deer, Mule",49.990106542,-110.627946267
January,2018,"Deer, Mule",53.601851612,-115.42618874
January,2018,"Deer, Mule",53.543003925,-115.426597508
January,2018,"Deer, Mule",54.031462198,-113.045045994
January,2018,"Deer, Mule",49.566320716,-114.2694793
January,2018,"Deer, Mule",49.591329997,-114.19429536
January,2018,"Deer, Mule",49.590086457,-114.198395703
January,2018,"Deer, Mule",49.416256691,-112.897961439
January,2018,"Deer, Mule",49.410219929,-112.904059031
January,2018,"Deer, Mule",49.382315141,-112.969990574
January,2018,"Deer, Mule",49.549987306,-114.03716569
January,2018,"Deer, Mule",49.349006227,-113.329895881
January,2018,"Deer, Mule",50.84866539,-113.45729254
January,2018,"Deer, Mule",52.9015815,-111.0871714
January,2018,"Deer, Mule",49.9557628,-110.3351325
January,2018,"Deer, Mule",52.4117652,-113.208766
January,2018,"Deer, Mule",50.045675,-113.592624
January,2018,"Deer, Mule",49.997036,-113.642148
January,2018,"Deer, Mule",53.3958726,-112.9773368
